"EPU","Habitat Name","Habitat Vulnerability Rank (HVCA)","Importance of habitat by life stage (ACFHP)...4","Importance of habitat by life stage (ACFHP)...5","Importance of habitat by life stage (ACFHP)...6","Importance of habitat by life stage (ACFHP)...7","Species Vulnerability Rank (FCVA)"
"MAB","Marine intertidal rocky bottom","High","High",NA,"High","Very high","High"
"MAB","Marine intertidal mud","High",NA,NA,NA,NA,"High"
"MAB","Marine/estuarine kelp","High",NA,"Moderate",NA,NA,"High"
"MAB","Estuarine intertidal rocky bottom","Moderate",NA,NA,NA,"Very high","High"
"NE","Marine intertidal rocky bottom","High","High",NA,NA,"High","High"
