"Species","Year","State","Pounds","Dollars","Dollars_adj"
"Barndoor skate",2019,"CONNECTICUT",23279,4308,4308
"Barndoor skate",2019,"MASSACHUSETTS",263414,67359,67359
"Barndoor skate",2019,"NEW JERSEY",11391,2679,2679
"Barndoor skate",2019,"NEW YORK",8866,2753,2753
"Barndoor skate",2019,"RHODE ISLAND",159854,33654,33654
"Barndoor skate",2018,"MASSACHUSETTS",5748,1519,1546.52050316987
"Barndoor skate",2016,"CONNECTICUT",74636,10417,11096.8086590714
"Barndoor skate",2015,"MASSACHUSETTS",148767,63392,68380.1378850578
"Barndoor skate",2014,"CONNECTICUT",2252,921,994.674358405678
"Barndoor skate",2014,"MASSACHUSETTS",8503,2147,2318.74684853093
"Barndoor skate",2012,"NEW YORK",3518,985,1096.82601442524
