"Species","EPU","sex","YEAR","MeanCond","nCond","n"
"White hake","GB","M",1992,104.903164507491,19,23
"White hake","GB","M",1993,106.343847205762,6,23
"White hake","GB","M",1994,107.469376011583,8,23
"White hake","GB","M",1997,104.701431853158,7,23
"White hake","GB","M",1998,111.89766400228,5,23
"White hake","GB","M",1999,104.620167320575,3,23
"White hake","GB","M",2002,104.265789962439,4,23
"White hake","GB","M",2003,105.971633073023,6,23
"White hake","GB","M",2004,99.6338591605153,10,23
"White hake","GB","M",2005,108.774067380552,11,23
"White hake","GB","M",2006,103.676489353783,10,23
"White hake","GB","M",2007,106.644026740873,11,23
"White hake","GB","M",2008,106.215850988934,19,23
"White hake","GB","M",2009,104.573143748377,39,23
"White hake","GB","M",2010,103.240968104025,25,23
"White hake","GB","M",2011,107.558001290437,19,23
"White hake","GB","M",2012,106.041841633486,20,23
"White hake","GB","M",2013,106.837888390983,7,23
"White hake","GB","M",2014,106.250908551208,9,23
"White hake","GB","M",2015,110.777900999635,6,23
"White hake","GB","M",2016,108.018563846831,8,23
"White hake","GB","M",2017,105.99598260141,31,23
"White hake","GB","M",2018,108.138394971131,14,23
"White hake","GOM","F",1992,101.752335080487,185,27
"White hake","GOM","F",1993,105.408024055027,167,27
"White hake","GOM","F",1994,103.523328946436,105,27
"White hake","GOM","F",1995,102.282609704627,144,27
"White hake","GOM","F",1996,104.315542861736,101,27
"White hake","GOM","F",1997,104.533994259977,55,27
"White hake","GOM","F",1998,103.562114050263,122,27
"White hake","GOM","F",1999,105.899593083636,105,27
"White hake","GOM","F",2000,103.498582273182,132,27
"White hake","GOM","F",2001,104.332394024667,123,27
"White hake","GOM","F",2002,103.666846416987,79,27
"White hake","GOM","F",2003,103.704739426603,64,27
"White hake","GOM","F",2004,103.55733689954,54,27
"White hake","GOM","F",2005,103.463571393659,75,27
"White hake","GOM","F",2006,105.607947066085,89,27
"White hake","GOM","F",2007,105.310621048153,135,27
"White hake","GOM","F",2008,103.034160771361,126,27
"White hake","GOM","F",2009,103.87041967226,155,27
"White hake","GOM","F",2010,101.786778362005,257,27
"White hake","GOM","F",2011,103.777730202776,240,27
"White hake","GOM","F",2012,105.540450998561,184,27
"White hake","GOM","F",2013,105.292723081938,92,27
"White hake","GOM","F",2014,105.776261302694,123,27
"White hake","GOM","F",2015,105.250530238394,184,27
"White hake","GOM","F",2016,102.421050202421,306,27
"White hake","GOM","F",2017,101.42445999332,161,27
"White hake","GOM","F",2018,105.001930478229,78,27
"White hake","GOM","M",1992,103.244209352317,162,27
"White hake","GOM","M",1993,105.740918702858,119,27
"White hake","GOM","M",1994,105.585751084829,105,27
"White hake","GOM","M",1995,105.373744726398,125,27
"White hake","GOM","M",1996,106.142255767022,33,27
"White hake","GOM","M",1997,105.291146104213,57,27
"White hake","GOM","M",1998,102.997160320283,90,27
"White hake","GOM","M",1999,105.13737445357,85,27
"White hake","GOM","M",2000,103.324404414644,108,27
"White hake","GOM","M",2001,104.889374687417,88,27
"White hake","GOM","M",2002,103.757133146402,74,27
"White hake","GOM","M",2003,103.336939649786,62,27
"White hake","GOM","M",2004,103.223674314808,52,27
"White hake","GOM","M",2005,103.537821681858,41,27
"White hake","GOM","M",2006,105.318510381061,87,27
"White hake","GOM","M",2007,104.99337827857,120,27
"White hake","GOM","M",2008,102.487831516392,127,27
"White hake","GOM","M",2009,104.537530255559,168,27
"White hake","GOM","M",2010,103.71553911678,241,27
"White hake","GOM","M",2011,104.099232518895,220,27
"White hake","GOM","M",2012,105.418500731358,196,27
"White hake","GOM","M",2013,104.728964551392,83,27
"White hake","GOM","M",2014,106.41384739166,126,27
"White hake","GOM","M",2015,103.876417563106,170,27
"White hake","GOM","M",2016,103.291092378765,204,27
"White hake","GOM","M",2017,102.267072837984,115,27
"White hake","GOM","M",2018,104.917269896815,70,27
"White hake","SS","F",1992,102.873577014739,51,27
"White hake","SS","F",1993,104.791295327847,53,27
"White hake","SS","F",1994,100.291489764539,79,27
"White hake","SS","F",1995,102.8517629335,43,27
"White hake","SS","F",1996,102.474034820082,26,27
"White hake","SS","F",1997,103.408474111263,12,27
"White hake","SS","F",1998,103.144439382973,5,27
"White hake","SS","F",1999,106.235004009629,13,27
"White hake","SS","F",2000,99.9910090136431,39,27
"White hake","SS","F",2001,104.702639927827,19,27
"White hake","SS","F",2002,102.962851159449,52,27
"White hake","SS","F",2003,101.582239156924,49,27
"White hake","SS","F",2004,103.649130796352,31,27
"White hake","SS","F",2005,100.781072669037,24,27
"White hake","SS","F",2006,103.693790337807,34,27
"White hake","SS","F",2007,101.277204360388,34,27
"White hake","SS","F",2008,103.043862319394,52,27
"White hake","SS","F",2009,101.848890951972,142,27
"White hake","SS","F",2010,103.029551538646,73,27
"White hake","SS","F",2011,105.427749193717,27,27
"White hake","SS","F",2012,104.375462208002,27,27
"White hake","SS","F",2013,105.302618479815,32,27
"White hake","SS","F",2014,105.818058755404,40,27
"White hake","SS","F",2015,104.952398162206,87,27
"White hake","SS","F",2016,101.492168604826,110,27
"White hake","SS","F",2017,103.714105043543,47,27
"White hake","SS","F",2018,104.480265774303,7,27
"White hake","SS","M",1992,102.754802212536,34,27
"White hake","SS","M",1993,106.082311072911,44,27
"White hake","SS","M",1994,103.84906331327,56,27
"White hake","SS","M",1995,104.541027841059,30,27
"White hake","SS","M",1996,104.147853151778,16,27
"White hake","SS","M",1997,102.110958482828,14,27
"White hake","SS","M",1998,107.043048880666,7,27
"White hake","SS","M",1999,106.294652290849,17,27
"White hake","SS","M",2000,99.8422560919278,36,27
"White hake","SS","M",2001,104.480198622293,21,27
"White hake","SS","M",2002,103.289037553523,55,27
"White hake","SS","M",2003,101.000384909993,46,27
