"","Species","Region","Time","Value","Metric","MONTHLY_PPD_MEDIAN_month_05_gCarbon_m_2_Day"
"1","Butterfish","Gulf of Maine / Cape Hatteras",1998,15036,"Recruitment",0.6224595
"2","Butterfish","Gulf of Maine / Cape Hatteras",1999,11667,"Recruitment",0.6182257
"3","Butterfish","Gulf of Maine / Cape Hatteras",2000,8720,"Recruitment",0.7298965
"4","Butterfish","Gulf of Maine / Cape Hatteras",2001,8832,"Recruitment",0.6648552
"5","Butterfish","Gulf of Maine / Cape Hatteras",2002,9975,"Recruitment",0.7213516
"6","Butterfish","Gulf of Maine / Cape Hatteras",2003,5557,"Recruitment",0.8807188
"7","Butterfish","Gulf of Maine / Cape Hatteras",2004,8148,"Recruitment",0.8801801
"8","Butterfish","Gulf of Maine / Cape Hatteras",2005,7801,"Recruitment",0.649579
"9","Butterfish","Gulf of Maine / Cape Hatteras",2006,5780,"Recruitment",0.9314512
"10","Butterfish","Gulf of Maine / Cape Hatteras",2007,7451,"Recruitment",0.9174554
"11","Butterfish","Gulf of Maine / Cape Hatteras",2008,10815,"Recruitment",0.8489532
"12","Butterfish","Gulf of Maine / Cape Hatteras",2009,5918,"Recruitment",0.904555
"13","Butterfish","Gulf of Maine / Cape Hatteras",2010,8399,"Recruitment",0.8837064
"14","Butterfish","Gulf of Maine / Cape Hatteras",2011,4325,"Recruitment",1.010308
"15","Butterfish","Gulf of Maine / Cape Hatteras",2012,7871,"Recruitment",0.9583429
"16","Butterfish","Gulf of Maine / Cape Hatteras",2013,7277,"Recruitment",0.9229662
"17","Butterfish","Gulf of Maine / Cape Hatteras",2014,6579,"Recruitment",0.934423
"18","Butterfish","Gulf of Maine / Cape Hatteras",2015,1893,"Recruitment",1.075864
