"EPU","Habitat Name","Habitat Vulnerability Rank (HVCA)","Importance of habitat by life stage (ACFHP)...4","Importance of habitat by life stage (ACFHP)...5","Importance of habitat by life stage (ACFHP)...6","Importance of habitat by life stage (ACFHP)...7","Species Vulnerability Rank (FCVA)"
"MAB","Marine intertidal sand","High",NA,"High",NA,NA,"Low"
"NE","Marine/estuarine submerged aquatic vegetation","High",NA,"High",NA,NA,"Low"
"NE","Marine intertidal sand","High",NA,"High",NA,NA,"Low"
"NE","Marine intertidal mud","High",NA,"High",NA,NA,"Low"
