"EPU","Habitat Name","Habitat Vulnerability Rank (HVCA)","Importance of habitat by life stage (ACFHP)...4","Importance of habitat by life stage (ACFHP)...5","Importance of habitat by life stage (ACFHP)...6","Importance of habitat by life stage (ACFHP)...7","Species Vulnerability Rank (FCVA)"
"MAB","Mid-Atlantic native salt marsh","Very high","High","Moderate",NA,"High","Very high"
"MAB","Marine/estuarine intertidal shellfish reef","Very high",NA,"Moderate",NA,NA,"Very high"
"MAB","Marine intertidal mud","High","Very high","High","High","Very high","Very high"
"MAB","Marine intertidal sand","High","Very high","High","High","Very high","Very high"
"MAB","Estuarine intertidal mud","Moderate","Very high",NA,NA,"Very high","Very high"
"MAB","Estuarine intertidal sand","Moderate","Very high",NA,NA,"Very high","Very high"
"MAB","Estuarine subtidal mud","Moderate","Very high",NA,NA,"Very high","Very high"
"NE","New England native salt marsh","Very high","High","Moderate",NA,"High","Very high"
"NE","Marine intertidal sand","High","Very high","High","High","Very high","Very high"
"NE","Estuarine intertidal mud","Moderate","Very high",NA,NA,"Very high","Very high"
"NE","Estuarine intertidal sand","Moderate","Very high",NA,NA,"Very high","Very high"
"NE","Estuarine subtidal mud","Moderate","Very high",NA,NA,"Very high","Very high"
