"EPU","Habitat Name","Habitat Vulnerability Rank (HVCA)","Importance of habitat by life stage (ACFHP)...4","Importance of habitat by life stage (ACFHP)...5","Importance of habitat by life stage (ACFHP)...6","Importance of habitat by life stage (ACFHP)...7","Species Vulnerability Rank (FCVA)"
"NE","Marine/estuarine submerged aquatic vegetation","High",NA,"High","High","High","Moderate"
"NE","Marine intertidal rocky bottom","High",NA,"High",NA,NA,"Moderate"
"NE","Marine intertidal sand","High",NA,"High","High","High","Moderate"
