"EPU","Habitat Name","Habitat Vulnerability Rank (HVCA)","Importance of habitat by life stage (ACFHP)...4","Importance of habitat by life stage (ACFHP)...5","Importance of habitat by life stage (ACFHP)...6","Importance of habitat by life stage (ACFHP)...7","Species Vulnerability Rank (FCVA)"
"MAB","Mid-Atlantic native salt marsh","Very high",NA,"Moderate",NA,NA,"Moderate"
"NE","Marine/estuarine submerged aquatic vegetation","High",NA,"High",NA,NA,"Moderate"
"NE","Marine kelp","High",NA,"High",NA,NA,"Moderate"
