"Species","EPU","sex","YEAR","MeanCond","nCond","n"
"Pollock","GOM","F",1992,103.764977383598,25,27
"Pollock","GOM","F",1993,100.697125832793,18,27
"Pollock","GOM","F",1994,97.4087130184353,8,27
"Pollock","GOM","F",1995,98.7667034782154,9,27
"Pollock","GOM","F",1996,101.305711807695,21,27
"Pollock","GOM","F",1997,101.646789389299,30,27
"Pollock","GOM","F",1998,100.537699373781,14,27
"Pollock","GOM","F",1999,100.98021851632,50,27
"Pollock","GOM","F",2000,99.4457713975464,25,27
"Pollock","GOM","F",2001,98.8069774113802,65,27
"Pollock","GOM","F",2002,97.1774985807909,21,27
"Pollock","GOM","F",2003,95.813748596689,28,27
"Pollock","GOM","F",2004,95.0991384606135,27,27
"Pollock","GOM","F",2005,95.2671811867541,52,27
"Pollock","GOM","F",2006,99.0065286907542,40,27
"Pollock","GOM","F",2007,101.860949056435,11,27
"Pollock","GOM","F",2008,103.563900493032,24,27
"Pollock","GOM","F",2009,99.2255174065396,17,27
"Pollock","GOM","F",2010,99.3946053494413,43,27
"Pollock","GOM","F",2011,99.6782303646303,50,27
"Pollock","GOM","F",2012,98.7934494851563,31,27
"Pollock","GOM","F",2013,97.4618913142853,15,27
"Pollock","GOM","F",2014,98.4801930781758,41,27
"Pollock","GOM","F",2015,99.5039849150125,75,27
"Pollock","GOM","F",2016,97.9261151966086,54,27
"Pollock","GOM","F",2017,98.4003079013816,14,27
"Pollock","GOM","F",2018,94.8369103396664,20,27
"Pollock","GOM","M",1992,102.814203681686,18,27
"Pollock","GOM","M",1993,98.7473187165656,9,27
"Pollock","GOM","M",1994,103.477254396609,8,27
"Pollock","GOM","M",1995,102.402361890402,7,27
"Pollock","GOM","M",1996,97.1498221104734,29,27
"Pollock","GOM","M",1997,100.958358657727,33,27
"Pollock","GOM","M",1998,98.7974546704278,26,27
"Pollock","GOM","M",1999,100.481754437298,54,27
"Pollock","GOM","M",2000,100.157038011973,23,27
"Pollock","GOM","M",2001,97.9452524248431,66,27
"Pollock","GOM","M",2002,98.4697903056208,16,27
"Pollock","GOM","M",2003,99.7043308731555,28,27
"Pollock","GOM","M",2004,96.6474972205816,24,27
"Pollock","GOM","M",2005,97.4076668110094,68,27
"Pollock","GOM","M",2006,97.7182376602277,36,27
"Pollock","GOM","M",2007,102.372092392095,10,27
"Pollock","GOM","M",2008,96.8263412128204,16,27
"Pollock","GOM","M",2009,103.314080948242,11,27
"Pollock","GOM","M",2010,99.2198153193734,41,27
"Pollock","GOM","M",2011,101.297851066785,36,27
"Pollock","GOM","M",2012,99.6213615857981,26,27
"Pollock","GOM","M",2013,98.9697935243672,20,27
"Pollock","GOM","M",2014,99.5785693920041,43,27
"Pollock","GOM","M",2015,98.5799464823045,73,27
"Pollock","GOM","M",2016,99.6654521410324,54,27
"Pollock","GOM","M",2017,99.3334357092927,15,27
"Pollock","GOM","M",2018,97.2025946059712,29,27
"Pollock","SS","F",1992,99.0165182507878,15,27
"Pollock","SS","F",1993,92.1814738057769,8,27
"Pollock","SS","F",1994,101.726087002005,15,27
"Pollock","SS","F",1995,102.880266523568,40,27
"Pollock","SS","F",1996,99.6595774059311,15,27
"Pollock","SS","F",1997,103.916518293215,13,27
"Pollock","SS","F",1998,99.1324792800406,19,27
"Pollock","SS","F",1999,100.296921473265,34,27
"Pollock","SS","F",2000,94.3134909694436,14,27
"Pollock","SS","F",2001,98.3514388849366,20,27
"Pollock","SS","F",2002,99.4987241066406,35,27
"Pollock","SS","F",2003,95.4066836643882,32,27
"Pollock","SS","F",2004,97.676059044009,66,27
"Pollock","SS","F",2005,101.810388893445,24,27
"Pollock","SS","F",2006,97.9513893124846,4,27
"Pollock","SS","F",2007,99.228866035294,20,27
"Pollock","SS","F",2008,97.1373441253924,28,27
"Pollock","SS","F",2009,100.37899849423,4,27
"Pollock","SS","F",2010,101.230267585435,6,27
"Pollock","SS","F",2011,101.356615783834,28,27
"Pollock","SS","F",2012,102.125399296891,52,27
"Pollock","SS","F",2013,102.778612780914,12,27
"Pollock","SS","F",2014,101.377432012851,51,27
"Pollock","SS","F",2015,97.6462029044297,52,27
