"Species","EPU","sex","YEAR","MeanCond","nCond","n"
"Witch flounder","GOM","F",1992,100.932135403631,20,27
"Witch flounder","GOM","F",1993,105.448538299936,39,27
"Witch flounder","GOM","F",1994,99.7400738063327,24,27
"Witch flounder","GOM","F",1995,97.7268988368701,67,27
"Witch flounder","GOM","F",1996,97.3147426371017,70,27
"Witch flounder","GOM","F",1997,101.374753016179,68,27
"Witch flounder","GOM","F",1998,99.9611151043028,68,27
"Witch flounder","GOM","F",1999,99.9620393622848,93,27
"Witch flounder","GOM","F",2000,98.4816657929709,74,27
"Witch flounder","GOM","F",2001,99.0099229687774,85,27
"Witch flounder","GOM","F",2002,100.130274593454,44,27
"Witch flounder","GOM","F",2003,96.0480071144324,48,27
"Witch flounder","GOM","F",2004,99.0329993371387,43,27
"Witch flounder","GOM","F",2005,96.1305032391737,28,27
"Witch flounder","GOM","F",2006,97.1732574784154,52,27
"Witch flounder","GOM","F",2007,98.001768985258,53,27
"Witch flounder","GOM","F",2008,97.1236179175966,140,27
"Witch flounder","GOM","F",2009,99.3247749953577,117,27
"Witch flounder","GOM","F",2010,98.3853619299301,108,27
"Witch flounder","GOM","F",2011,98.6187987144398,173,27
"Witch flounder","GOM","F",2012,99.0567113367552,155,27
"Witch flounder","GOM","F",2013,100.431780914736,93,27
"Witch flounder","GOM","F",2014,101.530689871076,127,27
"Witch flounder","GOM","F",2015,101.294565796325,231,27
"Witch flounder","GOM","F",2016,100.413071907157,195,27
"Witch flounder","GOM","F",2017,99.4836182686675,193,27
"Witch flounder","GOM","F",2018,100.993175650608,147,27
"Witch flounder","GOM","M",1992,100.727712130327,27,27
"Witch flounder","GOM","M",1993,104.481442775993,39,27
"Witch flounder","GOM","M",1994,100.773193375898,41,27
"Witch flounder","GOM","M",1995,97.312602165229,66,27
"Witch flounder","GOM","M",1996,97.9079789737157,78,27
"Witch flounder","GOM","M",1997,99.8498932479722,88,27
"Witch flounder","GOM","M",1998,98.8983590389926,75,27
"Witch flounder","GOM","M",1999,98.8677800610622,105,27
"Witch flounder","GOM","M",2000,97.3386283700055,63,27
"Witch flounder","GOM","M",2001,98.3811923328209,105,27
"Witch flounder","GOM","M",2002,97.3138332504835,55,27
"Witch flounder","GOM","M",2003,97.7980147845231,49,27
"Witch flounder","GOM","M",2004,99.0677636801462,29,27
"Witch flounder","GOM","M",2005,99.3898526886847,28,27
"Witch flounder","GOM","M",2006,99.3273360775453,46,27
"Witch flounder","GOM","M",2007,99.5387486942686,30,27
"Witch flounder","GOM","M",2008,98.3865695559181,141,27
"Witch flounder","GOM","M",2009,99.685112355847,65,27
"Witch flounder","GOM","M",2010,100.068478869326,83,27
"Witch flounder","GOM","M",2011,97.5279739945211,127,27
"Witch flounder","GOM","M",2012,99.4193918126378,113,27
