"Species","EPU","sex","YEAR","MeanCond","nCond","n"
"American plaice","GB","F",1992,107.964103818207,10,23
"American plaice","GB","F",1993,108.281689883302,5,23
"American plaice","GB","F",1994,108.932165076684,6,23
"American plaice","GB","F",1995,104.006119728334,9,23
"American plaice","GB","F",1996,105.750263619254,7,23
"American plaice","GB","F",1997,104.069296567939,27,23
"American plaice","GB","F",1998,103.923643216861,16,23
"American plaice","GB","F",1999,98.6911305098245,17,23
"American plaice","GB","F",2000,101.752055394251,19,23
"American plaice","GB","F",2002,96.0277450642519,7,23
"American plaice","GB","F",2003,99.967784732647,22,23
"American plaice","GB","F",2004,104.376748762612,5,23
"American plaice","GB","F",2005,95.5739348717286,7,23
"American plaice","GB","F",2006,102.48227902685,18,23
"American plaice","GB","F",2007,100.712264658988,12,23
"American plaice","GB","F",2008,104.918349378648,28,23
"American plaice","GB","F",2009,100.281591649891,42,23
"American plaice","GB","F",2010,98.6274169644276,12,23
"American plaice","GB","F",2011,104.912512207347,17,23
"American plaice","GB","F",2012,99.5349873931188,3,23
"American plaice","GB","F",2013,102.224014868318,3,23
"American plaice","GB","F",2015,100.475065466266,4,23
"American plaice","GB","F",2016,101.156503249269,7,23
"American plaice","GB","M",1992,99.9050606319314,3,25
"American plaice","GB","M",1993,102.351776532128,6,25
"American plaice","GB","M",1994,101.601129540581,4,25
"American plaice","GB","M",1995,108.929759879822,7,25
"American plaice","GB","M",1996,106.638622848435,11,25
"American plaice","GB","M",1997,107.252464982298,40,25
"American plaice","GB","M",1998,104.961381137973,28,25
"American plaice","GB","M",1999,106.676529243252,5,25
"American plaice","GB","M",2000,106.104349158717,9,25
"American plaice","GB","M",2001,97.1757532261672,6,25
"American plaice","GB","M",2002,103.126055073324,29,25
"American plaice","GB","M",2003,104.279711464101,19,25
"American plaice","GB","M",2004,100.324716341266,6,25
"American plaice","GB","M",2005,101.597642902498,6,25
"American plaice","GB","M",2006,106.216699322977,22,25
"American plaice","GB","M",2007,106.293781252087,15,25
"American plaice","GB","M",2008,105.183977946041,39,25
"American plaice","GB","M",2009,101.770562118385,34,25
"American plaice","GB","M",2010,100.395070278322,17,25
"American plaice","GB","M",2011,103.959546789012,11,25
"American plaice","GB","M",2012,92.7781038065249,6,25
"American plaice","GB","M",2013,101.616579111893,6,25
"American plaice","GB","M",2014,103.904858023116,6,25
"American plaice","GB","M",2015,101.436254767246,13,25
"American plaice","GB","M",2016,101.67657262953,11,25
"American plaice","GOM","F",1992,99.5925183527305,170,27
"American plaice","GOM","F",1993,102.500997226343,204,27
"American plaice","GOM","F",1994,101.241436465436,149,27
"American plaice","GOM","F",1995,99.1369958259615,184,27
"American plaice","GOM","F",1996,99.9086912404794,203,27
"American plaice","GOM","F",1997,101.469540653572,164,27
"American plaice","GOM","F",1998,101.321003782144,211,27
"American plaice","GOM","F",1999,100.898917146577,268,27
"American plaice","GOM","F",2000,98.3539173836638,195,27
"American plaice","GOM","F",2001,97.9193569710726,194,27
"American plaice","GOM","F",2002,96.7717278044727,149,27
"American plaice","GOM","F",2003,97.2165748776814,153,27
"American plaice","GOM","F",2004,95.37761030083,134,27
"American plaice","GOM","F",2005,95.9608794180476,168,27
"American plaice","GOM","F",2006,96.2230100275519,212,27
"American plaice","GOM","F",2007,95.5407786624863,234,27
"American plaice","GOM","F",2008,96.1581809711161,458,27
"American plaice","GOM","F",2009,97.2427969613549,245,27
"American plaice","GOM","F",2010,98.4863432993517,254,27
"American plaice","GOM","F",2011,98.0303722026356,313,27
"American plaice","GOM","F",2012,100.347062951015,305,27
"American plaice","GOM","F",2013,101.677282060138,231,27
"American plaice","GOM","F",2014,101.380706836592,242,27
"American plaice","GOM","F",2015,101.466173051621,426,27
"American plaice","GOM","F",2016,102.773069983821,369,27
"American plaice","GOM","F",2017,99.5692092870028,142,27
"American plaice","GOM","F",2018,99.0891570593005,218,27
"American plaice","GOM","M",1992,102.050413205822,185,27
"American plaice","GOM","M",1993,103.78327032227,156,27
"American plaice","GOM","M",1994,100.899301758459,174,27
"American plaice","GOM","M",1995,101.211781998191,134,27
"American plaice","GOM","M",1996,100.620365455187,118,27
"American plaice","GOM","M",1997,102.170723362208,127,27
"American plaice","GOM","M",1998,102.723192267664,130,27
"American plaice","GOM","M",1999,101.759995764362,248,27
"American plaice","GOM","M",2000,100.445289277707,108,27
"American plaice","GOM","M",2001,100.35622129261,124,27
"American plaice","GOM","M",2002,97.0462384378282,94,27
"American plaice","GOM","M",2003,97.4708064793635,94,27
"American plaice","GOM","M",2004,96.9462060243769,71,27
"American plaice","GOM","M",2005,98.5346371961812,110,27
"American plaice","GOM","M",2006,96.888483809081,151,27
"American plaice","GOM","M",2007,98.0759845802189,123,27
"American plaice","GOM","M",2008,97.2550861109321,267,27
"American plaice","GOM","M",2009,98.2981386247713,143,27
"American plaice","GOM","M",2010,98.6739711644997,147,27
"American plaice","GOM","M",2011,98.4227192469794,146,27
"American plaice","GOM","M",2012,101.224332224887,163,27
"American plaice","GOM","M",2013,102.467611428625,184,27
"American plaice","GOM","M",2014,101.79866422656,194,27
"American plaice","GOM","M",2015,102.831161164975,339,27
"American plaice","GOM","M",2016,102.566340010666,252,27
"American plaice","GOM","M",2017,101.964899400156,103,27
"American plaice","GOM","M",2018,101.869675582243,123,27
"American plaice","SS","F",1992,98.3776455748575,20,26
"American plaice","SS","F",1993,103.199470713195,23,26
"American plaice","SS","F",1994,98.338198760951,10,26
"American plaice","SS","F",1995,95.8312404745832,25,26
"American plaice","SS","F",1996,105.323776844654,12,26
"American plaice","SS","F",1997,98.6939305592207,10,26
"American plaice","SS","F",1998,102.789728334722,10,26
