"EPU","Habitat Name","Habitat Vulnerability Rank (HVCA)","Importance of habitat by life stage (ACFHP)...4","Importance of habitat by life stage (ACFHP)...5","Importance of habitat by life stage (ACFHP)...6","Importance of habitat by life stage (ACFHP)...7","Species Vulnerability Rank (FCVA)"
"MAB","Mid-Atlantic native salt marsh","Very high",NA,"High","Moderate",NA,"Moderate"
"MAB","Marine/estuarine intertidal shellfish reef","Very high",NA,"Moderate",NA,NA,"Moderate"
"MAB","Marine/estuarine subtidal shellfish reef","High",NA,"Moderate",NA,NA,"Moderate"
"MAB","Marine/estuarine submerged aquatic vegetation","High",NA,"High","Moderate",NA,"Moderate"
"MAB","Marine intertidal mud","High",NA,"High","High","High","Moderate"
"MAB","Marine intertidal sand","High",NA,"High","High","High","Moderate"
