"EPU","Habitat Name","Habitat Vulnerability Rank (HVCA)","Importance of habitat by life stage (ACFHP)...4","Importance of habitat by life stage (ACFHP)...5","Importance of habitat by life stage (ACFHP)...6","Importance of habitat by life stage (ACFHP)...7","Species Vulnerability Rank (FCVA)"
"MAB","Marine intertidal mud","High","Very high","High","High",NA,"Low"
"MAB","Marine intertidal sand","High","Very high","High","High",NA,"Low"
"NE","Marine intertidal sand","High",NA,"Very high","Very high",NA,"Low"
"NE","Marine intertidal mud","High",NA,"Very high","Very high",NA,"Low"
"NE","Estuarine intertidal rocky bottom","Moderate",NA,"Very high","Very high",NA,"Low"
"NE","Estuarine intertidal mud","Moderate",NA,"Very high","Very high",NA,"Low"
"NE","Estuarine intertidal sand","Moderate",NA,"Very high","Very high",NA,"Low"
"NE","Estuarine subtidal mud","Moderate",NA,"Very high","Very high",NA,"Low"
