"Species","Year","State","Pounds","Dollars","Dollars_adj"
"Little skate",2019,"CONNECTICUT",1567400,157221,157221
"Little skate",2019,"MASSACHUSETTS",577523,84870,84870
"Little skate",2019,"NEW JERSEY",929341,91430,91430
"Little skate",2019,"RHODE ISLAND",5576295,751544,751544
"Little skate",2018,"CONNECTICUT",2780632,279476,284539.410232984
"Little skate",2018,"MASSACHUSETTS",363270,44408,45212.5625442841
"Little skate",2018,"NEW JERSEY",946434,82057,83543.6688140947
"Little skate",2018,"RHODE ISLAND",6967716,860377,875964.892005123
"Little skate",2017,"CONNECTICUT",3286100,328673,342791.456835322
"Little skate",2017,"MASSACHUSETTS",75462,15660,16332.6899807442
"Little skate",2017,"NEW JERSEY",869722,79986,83421.8736142917
"Little skate",2017,"RHODE ISLAND",5519578,704996,735279.764090981
"Little skate",2016,"CONNECTICUT",4622400,462240,492405.571140364
"Little skate",2016,"MASSACHUSETTS",304308,32430,34546.3669783706
"Little skate",2016,"NEW JERSEY",610716,49754,53000.9233007045
"Little skate",2016,"RHODE ISLAND",6183989,722453,769599.952594041
"Little skate",2015,"MASSACHUSETTS",456783,46780,50460.9864062185
"Little skate",2015,"NEW JERSEY",812814,67446,72753.1357236814
"Little skate",2015,"RHODE ISLAND",6708121,691357,745757.934562719
"Little skate",2014,"MASSACHUSETTS",273465,28195,30450.4272912574
"Little skate",2014,"NEW JERSEY",820694,74094,80021.0661364933
"Little skate",2014,"NEW YORK",7552,2803,3027.22283019665
"Little skate",2014,"RHODE ISLAND",8239592,848302,916160.963717973
"Little skate",2013,"MASSACHUSETTS",2021315,237879,261058.115078552
"Little skate",2013,"NEW JERSEY",821100,78492,86140.3216288352
"Little skate",2013,"RHODE ISLAND",8197224,852682,935767.998358029
"Little skate",2012,"MASSACHUSETTS",1569274,196145,218413.135633947
"Little skate",2012,"NEW JERSEY",580188,48597,54114.16631779
"Little skate",2012,"RHODE ISLAND",8844255,909255,1012481.76420936
"Little skate",2011,"MASSACHUSETTS",2438530,290692,330404.751043691
"Little skate",2011,"NEW JERSEY",353171,29826,33900.6649809046
"Little skate",2011,"RHODE ISLAND",7152955,740340,841481.20136669
"Little skate",2010,"MASSACHUSETTS",1208532,149168,174869.68731567
"Little skate",2010,"NEW JERSEY",449652,39150,45895.5557385531
"Little skate",2010,"RHODE ISLAND",7632097,784469,919633.223873998
"Little skate",2009,"MASSACHUSETTS",1950450,194910,232232.494084922
"Little skate",2009,"NEW JERSEY",263530,21476,25588.3486889733
"Little skate",2009,"NEW YORK",23287,3384,4031.98789176224
"Little skate",2009,"RHODE ISLAND",6219888,582846,694452.723038431
"Little skate",2008,"NEW JERSEY",416558,33865,40220.4028433817
"Little skate",2008,"NEW YORK",14604,3086,3665.14581942052
"Little skate",2008,"RHODE ISLAND",7730694,691983,821846.597394709
"Little skate",2007,"RHODE ISLAND",7466995,646874,797581.267484416
"Little skate",2006,"MASSACHUSETTS",432500,32265,40923.9911460702
"Little skate",2006,"NEW JERSEY",32556,7575,9607.91052011411
"Little skate",2006,"NEW YORK",21933,9827,12464.2820701203
"Little skate",2006,"RHODE ISLAND",6438321,529063,671048.180000413
"Little skate",2005,"MAINE",427,47,61.5342365141687
"Little skate",2005,"MASSACHUSETTS",46500,3410,4464.50524496415
"Little skate",2005,"NEW JERSEY",872,105,137.470102850802
"Little skate",2005,"NEW YORK",26450,5473,7165.46545621373
"Little skate",2005,"RHODE ISLAND",7462517,571087,747689.415492916
"Little skate",2004,"MARYLAND",300,21,28.4194225594424
"Little skate",2004,"MASSACHUSETTS",215000,14940,20218.389192289
"Little skate",2004,"NEW JERSEY",225229,27547,37279.5158688076
"Little skate",2004,"NEW YORK",1618,666,901.301686885174
"Little skate",2004,"RHODE ISLAND",1871920,122928,166359.179827959
