"Time","stock_id","Value","Var","Units","Pattern_check"
2009,"winter_skate_both",2.6703,"maximum intensity","degrees C","Winter skate both"
2009,"winter_skate_both",2.0362,"maximum intensity","degrees C","Winter skate both"
2010,"winter_skate_both",1.2821,"maximum intensity","degrees C","Winter skate both"
2010,"winter_skate_both",1.3575,"maximum intensity","degrees C","Winter skate both"
2010,"winter_skate_both",2.01,"maximum intensity","degrees C","Winter skate both"
2010,"winter_skate_both",2.4119,"maximum intensity","degrees C","Winter skate both"
2010,"winter_skate_both",3.61,"maximum intensity","degrees C","Winter skate both"
2010,"winter_skate_both",1.9409,"maximum intensity","degrees C","Winter skate both"
2010,"winter_skate_both",2.6017,"maximum intensity","degrees C","Winter skate both"
2010,"winter_skate_both",1.5844,"maximum intensity","degrees C","Winter skate both"
2011,"winter_skate_both",3.1828,"maximum intensity","degrees C","Winter skate both"
2011,"winter_skate_both",1.7736,"maximum intensity","degrees C","Winter skate both"
2011,"winter_skate_both",1.823,"maximum intensity","degrees C","Winter skate both"
2011,"winter_skate_both",2.7338,"maximum intensity","degrees C","Winter skate both"
2011,"winter_skate_both",1.5816,"maximum intensity","degrees C","Winter skate both"
2011,"winter_skate_both",3.9333,"maximum intensity","degrees C","Winter skate both"
2012,"winter_skate_both",1.6669,"maximum intensity","degrees C","Winter skate both"
2012,"winter_skate_both",3.1772,"maximum intensity","degrees C","Winter skate both"
2012,"winter_skate_both",1.6528,"maximum intensity","degrees C","Winter skate both"
2012,"winter_skate_both",2.0276,"maximum intensity","degrees C","Winter skate both"
2013,"winter_skate_both",2.0722,"maximum intensity","degrees C","Winter skate both"
2013,"winter_skate_both",1.3615,"maximum intensity","degrees C","Winter skate both"
2013,"winter_skate_both",1.6753,"maximum intensity","degrees C","Winter skate both"
2013,"winter_skate_both",1.8638,"maximum intensity","degrees C","Winter skate both"
2013,"winter_skate_both",1.5771,"maximum intensity","degrees C","Winter skate both"
2013,"winter_skate_both",2.9617,"maximum intensity","degrees C","Winter skate both"
2013,"winter_skate_both",1.9716,"maximum intensity","degrees C","Winter skate both"
2013,"winter_skate_both",1.845,"maximum intensity","degrees C","Winter skate both"
2013,"winter_skate_both",1.4762,"maximum intensity","degrees C","Winter skate both"
2014,"winter_skate_both",2.3009,"maximum intensity","degrees C","Winter skate both"
2014,"winter_skate_both",2.6515,"maximum intensity","degrees C","Winter skate both"
2015,"winter_skate_both",1.8416,"maximum intensity","degrees C","Winter skate both"
2015,"winter_skate_both",1.8782,"maximum intensity","degrees C","Winter skate both"
2015,"winter_skate_both",2.4744,"maximum intensity","degrees C","Winter skate both"
