"Species","Year","State","Pounds","Dollars","Dollars_adj"
"Winter skate",2019,"CONNECTICUT",269328,155610,155610
"Winter skate",2019,"MARYLAND",31528,8870,8870
"Winter skate",2019,"MASSACHUSETTS",10046012,2813319,2813319
"Winter skate",2019,"NEW HAMPSHIRE",13284,3631,3631
"Winter skate",2019,"NEW JERSEY",1773531,451774,451774
"Winter skate",2019,"NEW YORK",967037,265052,265052
"Winter skate",2019,"RHODE ISLAND",4343749,1078849,1078849
"Winter skate",2019,"VIRGINIA",114117,24782,24782
"Winter skate",2018,"CONNECTICUT",486884,191022,194482.843684341
"Winter skate",2018,"MARYLAND",63254,15851,16138.1807081933
"Winter skate",2018,"MASSACHUSETTS",11828970,3397748,3459306.74562503
"Winter skate",2018,"NEW HAMPSHIRE",17601,4933,5022.37369462604
"Winter skate",2018,"NEW JERSEY",1910786,519780,529197.121222932
"Winter skate",2018,"NEW YORK",897761,244973,249411.301660982
"Winter skate",2018,"RHODE ISLAND",3370081,828122,843125.511603711
"Winter skate",2018,"VIRGINIA",7271,1889,1923.22398320466
"Winter skate",2017,"CONNECTICUT",510624,132559,138253.196114781
"Winter skate",2017,"MARYLAND",19763,5235,5459.87433264343
"Winter skate",2017,"MASSACHUSETTS",11811620,2875024,2998523.35116215
"Winter skate",2017,"NEW HAMPSHIRE",8797,2320,2419.65777492507
"Winter skate",2017,"NEW JERSEY",1735226,354154,369367.017077937
"Winter skate",2017,"NEW YORK",1434559,273204,284939.733939926
"Winter skate",2017,"RHODE ISLAND",3778678,753991,786379.390247211
"Winter skate",2016,"CONNECTICUT",390952,71255,75905.0687340054
"Winter skate",2016,"MARYLAND",32953,8267,8806.50064169563
"Winter skate",2016,"MASSACHUSETTS",11466388,2486932,2649228.04570623
"Winter skate",2016,"NEW JERSEY",1410757,270994,288678.944586388
"Winter skate",2016,"NEW YORK",1447325,307234,327283.950423457
"Winter skate",2016,"RHODE ISLAND",4685255,881147,938650.250505405
"Winter skate",2016,"VIRGINIA",48612,12641,13465.9458826266
"Winter skate",2015,"CONNECTICUT",476083,101389,109367.014765714
"Winter skate",2015,"MASSACHUSETTS",10277328,2349686,2534576.17154515
"Winter skate",2015,"NEW JERSEY",1736321,374563,404036.307209757
"Winter skate",2015,"NEW YORK",1650840,372901,402243.529112127
"Winter skate",2015,"RHODE ISLAND",4947711,1146247,1236441.94709638
"Winter skate",2014,"MASSACHUSETTS",8853625,2981774,3220297.6551148
"Winter skate",2014,"NEW JERSEY",1887536,594357,641901.919260503
"Winter skate",2014,"NEW YORK",1240108,387315,418297.827498257
"Winter skate",2014,"RHODE ISLAND",4055468,1280766,1383219.4346556
"Winter skate",2013,"MASSACHUSETTS",2475687,728917,799943.240339469
"Winter skate",2013,"NEW JERSEY",1733525,440120,483005.635673482
"Winter skate",2013,"NEW YORK",627770,169990,186553.958029935
"Winter skate",2013,"RHODE ISLAND",984851,325238,356929.444095183
"Winter skate",2012,"MASSACHUSETTS",5017820,1071732,1193404.60719999
"Winter skate",2012,"NEW JERSEY",2277141,577365,642912.64144023
"Winter skate",2012,"NEW YORK",1487336,318752,354939.579441698
"Winter skate",2012,"RHODE ISLAND",1326263,334166,372103.514656267
"Winter skate",2011,"MASSACHUSETTS",7651224,1882476,2139649.57455218
"Winter skate",2011,"NEW JERSEY",2449165,563268,640218.593256359
"Winter skate",2011,"NEW YORK",445491,125562,142715.593654273
"Winter skate",2011,"RHODE ISLAND",1729916,444151,504828.480249908
"Winter skate",2010,"MASSACHUSETTS",7082911,1483714,1739358.32917169
"Winter skate",2010,"NEW JERSEY",2264031,425986,499383.504644784
"Winter skate",2010,"NEW YORK",374262,101385,118853.66330915
"Winter skate",2010,"RHODE ISLAND",1691168,359456,421390.367396101
"Winter skate",2009,"MASSACHUSETTS",3171611,684650,815750.741753846
"Winter skate",2009,"NEW JERSEY",1108962,196830,234520.146789468
"Winter skate",2009,"NEW YORK",155982,34809,41474.4286419479
"Winter skate",2009,"RHODE ISLAND",851457,179338,213678.677462428
"Winter skate",2008,"CONNECTICUT",120,42,49.8820882746798
"Winter skate",2008,"MASSACHUSETTS",4756381,930899,1105599.66887646
"Winter skate",2008,"NEW JERSEY",781801,135293,160683.270689197
"Winter skate",2008,"NEW YORK",105893,28834,34245.2412693361
"Winter skate",2008,"RHODE ISLAND",630384,111079,131925.059130075
"Winter skate",2007,"MASSACHUSETTS",5320820,1170861,1443645.59470325
"Winter skate",2007,"NEW JERSEY",452317,99382,122535.79758212
"Winter skate",2007,"NEW YORK",79818,24114,29732.0261505629
"Winter skate",2007,"RHODE ISLAND",396186,88200,108748.640063019
