"","Species","Region","Time","Value","Metric","southern_latitude"
"1","Bluefish","Atlantic Coast",1984,183843,"Abundance",34.383333
"2","Bluefish","Atlantic Coast",1985,163620,"Abundance",34.4
"3","Bluefish","Atlantic Coast",1986,136954,"Abundance",34.933333
"4","Bluefish","Atlantic Coast",1987,101648,"Abundance",35.083333
"5","Bluefish","Atlantic Coast",1988,94923,"Abundance",35.283333
"6","Bluefish","Atlantic Coast",1989,84460,"Abundance",35.133333
"7","Bluefish","Atlantic Coast",1990,77579,"Abundance",35.116667
"8","Bluefish","Atlantic Coast",1991,74547,"Abundance",35.183333
"9","Bluefish","Atlantic Coast",1992,74846,"Abundance",34.916667
"10","Bluefish","Atlantic Coast",1993,75793,"Abundance",35.1
"11","Bluefish","Atlantic Coast",1994,76526,"Abundance",35.45
"12","Bluefish","Atlantic Coast",1995,75224,"Abundance",35.283333
"13","Bluefish","Atlantic Coast",1996,79665,"Abundance",35.15
"14","Bluefish","Atlantic Coast",1997,92628,"Abundance",35.616667
"15","Bluefish","Atlantic Coast",1998,96285,"Abundance",35.616667
"16","Bluefish","Atlantic Coast",1999,106332,"Abundance",35.146667
"17","Bluefish","Atlantic Coast",2000,116170,"Abundance",35.014833
"18","Bluefish","Atlantic Coast",2001,99066,"Abundance",35.177307
"19","Bluefish","Atlantic Coast",2002,103768,"Abundance",35.183833
"20","Bluefish","Atlantic Coast",2003,115528,"Abundance",34.942167
"21","Bluefish","Atlantic Coast",2004,129375,"Abundance",34.984833
"22","Bluefish","Atlantic Coast",2005,105410,"Abundance",35.276067
"23","Bluefish","Atlantic Coast",2006,107083,"Abundance",34.657017
"24","Bluefish","Atlantic Coast",2007,129326,"Abundance",35.042365
"25","Bluefish","Atlantic Coast",2008,118914,"Abundance",34.93096
"26","Bluefish","Atlantic Coast",2009,115365,"Abundance",34.985498
"27","Bluefish","Atlantic Coast",2010,112514,"Abundance",34.829853
