"Species","Year","State","Pounds","Dollars","Dollars_adj"
"Offshore hake",2019,"MASSACHUSETTS",55,19,19
"Offshore hake",2018,"NEW YORK",52,41,41.7428180579095
"Offshore hake",2016,"NEW YORK",430,350,372.840840037918
"Offshore hake",2014,"MASSACHUSETTS",405,377,407.157690682889
"Offshore hake",2014,"NEW YORK",1678,1683,1817.62969076738
"Offshore hake",2013,"CONNECTICUT",51541,47982,52657.4034601586
"Offshore hake",2013,"NEW YORK",1608,2019,2215.73293289276
"Offshore hake",2012,"CONNECTICUT",18150,23182,25813.8280877216
"Offshore hake",2011,"MASSACHUSETTS",2430,1875,2131.15224432361
"Offshore hake",2011,"NEW YORK",575,495,562.624192501434
"Offshore hake",2010,"CONNECTICUT",22,7,8.20610192004781
"Offshore hake",2010,"NEW YORK",13265,7470,8757.08304896531
"Offshore hake",2010,"RHODE ISLAND",1297,388,454.852506425507
"Offshore hake",2009,"MASSACHUSETTS",8059,10296,12267.5376281277
"Offshore hake",2009,"NEW YORK",36219,20843,24834.1381879433
"Offshore hake",2008,"CONNECTICUT",873,1368,1624.73087523243
"Offshore hake",2008,"NEW YORK",44538,22610,26853.190854536
"Offshore hake",2007,"CONNECTICUT",14,4,4.93191111396913
"Offshore hake",2007,"NEW YORK",22187,9119,11243.5243620711
"Offshore hake",2006,"CONNECTICUT",75,8,10.1469682060611
"Offshore hake",2006,"NEW YORK",77573,40834,51792.6624657874
"Offshore hake",2006,"RHODE ISLAND",3954,2321,2943.88915078348
"Offshore hake",2005,"CONNECTICUT",8182,5252,6876.12362068966
"Offshore hake",2005,"MASSACHUSETTS",16717,6408,8389.60399112325
"Offshore hake",2005,"NEW YORK",2104,1092,1429.68906964834
"Offshore hake",2005,"RHODE ISLAND",1396,881,1153.43962487197
"Offshore hake",2004,"CONNECTICUT",7834,6065,8207.7998963342
"Offshore hake",2004,"MAINE",61,22,29.7727283956063
"Offshore hake",2004,"MASSACHUSETTS",9322,3692,4996.40514711721
"Offshore hake",2004,"NEW HAMPSHIRE",69,42,56.8388451188848
"Offshore hake",2004,"NEW YORK",25637,11530,15603.61629097
"Offshore hake",2004,"RHODE ISLAND",8608,4313,5836.80807137501
"Offshore hake",2004,"VIRGINIA",65,13,17.592975870131
"Offshore hake",2003,"CONNECTICUT",3300,2355,3272.05171875
"Offshore hake",2003,"MASSACHUSETTS",17600,13740,19090.441875
"Offshore hake",2002,"NEW YORK",60,90,127.920130652335
"Offshore hake",2002,"RHODE ISLAND",13828,3892,5531.83498332098
"Offshore hake",2001,"RHODE ISLAND",206,65,93.8609484584608
"Offshore hake",1999,"MASSACHUSETTS",11589,11422,17529.0217098549
"Offshore hake",1999,"RHODE ISLAND",14429,8236,12639.5572406203
"Offshore hake",1998,"RHODE ISLAND",11654,5806,9105.72008281785
"Offshore hake",1997,"NEW JERSEY",24064,5888,9377.17873228469
"Offshore hake",1997,"RHODE ISLAND",25146,9521,15163.06363962
"Offshore hake",1996,"NEW JERSEY",76793,30773,50154.4314705414
"Offshore hake",1996,"NEW YORK",73,57,92.8997040854274
"Offshore hake",1996,"RHODE ISLAND",70510,29831,48619.1416240769
"Offshore hake",1995,"CONNECTICUT",55691,194922,327017.098270808
"Offshore hake",1995,"MASSACHUSETTS",78,40,67.1072733238543
"Offshore hake",1995,"NEW JERSEY",51159,24993,41930.3020545773
"Offshore hake",1995,"NEW YORK",60,15,25.1652274964454
"Offshore hake",1995,"RHODE ISLAND",49748,17902,30033.860176091
"Offshore hake",1994,"NEW JERSEY",189348,84920,146465.587384045
"Offshore hake",1994,"RHODE ISLAND",64336,29355,50629.9731236296
"Offshore hake",1993,"NEW JERSEY",216220,116719,206536.078139817
"Offshore hake",1992,"NEW JERSEY",80745,35409,64517.4608784225
"Offshore hake",1992,"RHODE ISLAND",180863,52513,95682.0419415573
"Offshore hake",1991,"NEW JERSEY",66680,22599,42429.2629075887
