"Species","EPU","sex","YEAR","MeanCond","nCond","n"
"Monkfish","GOM","M",2017,95.9148860994682,52,27
"Monkfish","GOM","M",2018,96.2123805904409,114,27
"Monkfish","MAB","F",1992,96.7882201828168,10,26
"Monkfish","MAB","F",1993,106.67158946116,9,26
"Monkfish","MAB","F",1994,102.544914933116,9,26
"Monkfish","MAB","F",1995,101.863526367298,17,26
"Monkfish","MAB","F",1996,99.5784654423123,9,26
"Monkfish","MAB","F",1997,98.2447388178171,6,26
"Monkfish","MAB","F",1998,98.9868548496329,8,26
"Monkfish","MAB","F",1999,101.108681992113,16,26
"Monkfish","MAB","F",2000,100.954899843547,7,26
"Monkfish","MAB","F",2001,98.1131489345865,17,26
"Monkfish","MAB","F",2002,100.842058453671,25,26
"Monkfish","MAB","F",2003,100.876113179931,23,26
"Monkfish","MAB","F",2004,103.286596548766,13,26
"Monkfish","MAB","F",2005,100.455064138413,17,26
"Monkfish","MAB","F",2006,103.119416692086,12,26
"Monkfish","MAB","F",2007,98.4462111045715,9,26
"Monkfish","MAB","F",2008,96.1745179331476,5,26
"Monkfish","MAB","F",2009,99.9473698620889,79,26
"Monkfish","MAB","F",2010,101.202795834893,98,26
"Monkfish","MAB","F",2011,99.2283318720832,95,26
"Monkfish","MAB","F",2012,100.000030803057,71,26
"Monkfish","MAB","F",2013,100.164406110717,51,26
"Monkfish","MAB","F",2014,100.678027849619,71,26
"Monkfish","MAB","F",2015,98.0369462364819,99,26
"Monkfish","MAB","F",2016,100.008695976195,105,26
"Monkfish","MAB","F",2018,99.519827481159,63,26
"Monkfish","MAB","M",1992,98.7791289496793,14,26
"Monkfish","MAB","M",1993,101.311290131519,10,26
"Monkfish","MAB","M",1994,102.432981057187,9,26
"Monkfish","MAB","M",1995,104.148498924068,12,26
"Monkfish","MAB","M",1996,98.619737592971,9,26
"Monkfish","MAB","M",1997,96.9530383164108,24,26
"Monkfish","MAB","M",1998,97.7586970974676,18,26
"Monkfish","MAB","M",1999,98.5080430217228,22,26
"Monkfish","MAB","M",2000,101.094113109476,10,26
"Monkfish","MAB","M",2001,95.3610298205127,9,26
"Monkfish","MAB","M",2002,101.962536224437,30,26
"Monkfish","MAB","M",2003,101.710129286397,21,26
"Monkfish","MAB","M",2004,98.5340560501556,19,26
"Monkfish","MAB","M",2005,99.7454685109862,13,26
"Monkfish","MAB","M",2006,100.873420588664,13,26
"Monkfish","MAB","M",2007,99.453035774409,4,26
"Monkfish","MAB","M",2008,94.846392782639,5,26
"Monkfish","MAB","M",2009,98.4800581683406,92,26
"Monkfish","MAB","M",2010,99.3239475723239,78,26
"Monkfish","MAB","M",2011,100.123506257761,88,26
"Monkfish","MAB","M",2012,99.8147552917382,89,26
"Monkfish","MAB","M",2013,99.3212662269865,64,26
"Monkfish","MAB","M",2014,99.1482409587477,87,26
"Monkfish","MAB","M",2015,97.7074031075879,90,26
"Monkfish","MAB","M",2016,98.9624152184207,142,26
"Monkfish","MAB","M",2018,98.4868642832839,82,26
