"Species","EPU","sex","YEAR","MeanCond","nCond","n"
"Bluefish","GB","F",1992,96.0361906146834,9,21
"Bluefish","GB","F",1993,94.4325726070932,5,21
"Bluefish","GB","F",1994,96.6471104852064,12,21
"Bluefish","GB","F",1995,96.4021850891889,13,21
"Bluefish","GB","F",1996,103.637772717255,8,21
"Bluefish","GB","F",1997,99.5727124718822,9,21
"Bluefish","GB","F",1998,98.3567991625394,15,21
"Bluefish","GB","F",1999,99.9749674436586,12,21
"Bluefish","GB","F",2000,96.3555673338523,7,21
"Bluefish","GB","F",2001,93.2434057242531,3,21
"Bluefish","GB","F",2002,93.2346772857145,4,21
"Bluefish","GB","F",2003,102.211606982313,3,21
"Bluefish","GB","F",2005,96.2841845167637,3,21
"Bluefish","GB","F",2006,90.8523156686561,4,21
"Bluefish","GB","F",2007,92.6559685285083,4,21
"Bluefish","GB","F",2008,95.4882630902359,10,21
"Bluefish","GB","F",2009,97.3090163234084,11,21
"Bluefish","GB","F",2010,96.8664228791281,19,21
"Bluefish","GB","F",2012,96.1335140165109,13,21
"Bluefish","GB","F",2013,98.353473159276,6,21
"Bluefish","GB","F",2015,97.7211049514585,6,21
"Bluefish","GB","M",1992,100.229696794935,4,21
"Bluefish","GB","M",1993,101.572649436358,14,21
"Bluefish","GB","M",1994,100.365366310326,11,21
"Bluefish","GB","M",1995,97.5040968304524,12,21
"Bluefish","GB","M",1996,93.9888371006421,4,21
"Bluefish","GB","M",1997,100.114881438156,6,21
"Bluefish","GB","M",1998,99.4878733845388,12,21
"Bluefish","GB","M",1999,103.11825372504,10,21
"Bluefish","GB","M",2000,102.560881217025,8,21
"Bluefish","GB","M",2001,95.9278598584783,5,21
"Bluefish","GB","M",2002,100.847195634189,5,21
"Bluefish","GB","M",2004,92.491856538907,4,21
"Bluefish","GB","M",2005,99.2392737884557,13,21
"Bluefish","GB","M",2006,100.566595560824,14,21
"Bluefish","GB","M",2007,99.6897881589066,13,21
"Bluefish","GB","M",2008,95.4502170013482,13,21
"Bluefish","GB","M",2009,101.075309226526,11,21
"Bluefish","GB","M",2010,97.5639038598284,14,21
"Bluefish","GB","M",2011,97.6938876878003,4,21
"Bluefish","GB","M",2012,96.1811986857552,21,21
"Bluefish","GB","M",2015,101.598008218338,9,21
"Bluefish","MAB","F",1992,94.7320359670074,24,26
"Bluefish","MAB","F",1993,98.3376799762874,10,26
"Bluefish","MAB","F",1994,96.9187095422044,47,26
"Bluefish","MAB","F",1995,95.6115248683777,57,26
"Bluefish","MAB","F",1996,94.6061977209868,35,26
"Bluefish","MAB","F",1997,95.5894878747634,17,26
"Bluefish","MAB","F",1998,95.8145380726539,20,26
"Bluefish","MAB","F",1999,95.7011033025808,53,26
"Bluefish","MAB","F",2000,95.4707559336064,43,26
"Bluefish","MAB","F",2001,95.0583811238702,22,26
"Bluefish","MAB","F",2002,94.5824123710067,17,26
"Bluefish","MAB","F",2003,96.2765497872749,29,26
"Bluefish","MAB","F",2004,93.482533565162,27,26
"Bluefish","MAB","F",2005,94.3810285350277,31,26
"Bluefish","MAB","F",2006,94.0196851508441,40,26
"Bluefish","MAB","F",2007,94.3814381898958,22,26
"Bluefish","MAB","F",2008,94.1380217853526,25,26
"Bluefish","MAB","F",2009,96.3357471964103,38,26
"Bluefish","MAB","F",2010,96.8135802021121,49,26
"Bluefish","MAB","F",2011,94.2311963740718,46,26
"Bluefish","MAB","F",2012,94.6513004787693,23,26
"Bluefish","MAB","F",2013,97.3979681852004,13,26
"Bluefish","MAB","F",2014,94.8391953452269,29,26
"Bluefish","MAB","F",2015,95.3137686760153,13,26
"Bluefish","MAB","F",2016,94.5760056614266,29,26
"Bluefish","MAB","F",2018,96.7271058893426,28,26
"Bluefish","MAB","M",1992,95.0487724376191,36,26
"Bluefish","MAB","M",1993,97.0317269009839,12,26
"Bluefish","MAB","M",1994,97.2660324654214,33,26
"Bluefish","MAB","M",1995,94.6246155156816,40,26
"Bluefish","MAB","M",1996,94.6965660206133,35,26
"Bluefish","MAB","M",1997,96.0846727279785,11,26
"Bluefish","MAB","M",1998,95.9532458482489,22,26
"Bluefish","MAB","M",1999,95.7701974288682,41,26
"Bluefish","MAB","M",2000,95.2400679313279,33,26
"Bluefish","MAB","M",2001,96.2446004056482,17,26
"Bluefish","MAB","M",2002,94.6900128744111,18,26
"Bluefish","MAB","M",2003,94.5327944646812,43,26
"Bluefish","MAB","M",2004,92.4154970685911,17,26
"Bluefish","MAB","M",2005,94.4541165275289,23,26
"Bluefish","MAB","M",2006,92.6006334812724,30,26
"Bluefish","MAB","M",2007,94.1009037623587,23,26
"Bluefish","MAB","M",2008,94.6013952563762,33,26
"Bluefish","MAB","M",2009,95.9172649941991,29,26
"Bluefish","MAB","M",2010,95.9832610625595,29,26
"Bluefish","MAB","M",2011,95.4908138147041,24,26
"Bluefish","MAB","M",2012,95.1810485829501,21,26
"Bluefish","MAB","M",2013,94.8500013679523,9,26
"Bluefish","MAB","M",2014,93.4228716310662,23,26
"Bluefish","MAB","M",2015,94.3745731572927,15,26
"Bluefish","MAB","M",2016,95.4527469300234,22,26
"Bluefish","MAB","M",2018,96.3313164377244,28,26
