"EPU","Habitat Name","Habitat Vulnerability Rank (HVCA)","Importance of habitat by life stage (ACFHP)...4","Importance of habitat by life stage (ACFHP)...5","Importance of habitat by life stage (ACFHP)...6","Importance of habitat by life stage (ACFHP)...7","Species Vulnerability Rank (FCVA)"
"MAB","Marine/estuarine submerged aquatic vegetation","High","Very high","Very high",NA,"Very high","Very high"
"MAB","Riverine sand","Moderate","Very high ","Very high",NA,"Very high","Very high"
"NE","Riverine sand","Moderate","Very high ","Very high",NA,"Very high","Very high"
