"Species","Year","State","Pounds","Dollars","Dollars_adj"
"Smooth skate",2019,"CONNECTICUT",19122,7189,7189
"Smooth skate",2019,"NEW JERSEY",6536,3352,3352
"Smooth skate",2019,"NEW YORK",442010,148619,148619
"Smooth skate",2018,"CONNECTICUT",18582,7939,8082.83494053034
"Smooth skate",2018,"NEW JERSEY",55084,18347,18679.4020221577
"Smooth skate",2018,"NEW YORK",224538,81680,83159.8385114647
"Smooth skate",2018,"RHODE ISLAND",10097,4377,4456.30035706025
"Smooth skate",2017,"CONNECTICUT",23071,8648,9019.4829472207
"Smooth skate",2017,"MASSACHUSETTS",2700,824,859.395692473387
"Smooth skate",2017,"NEW JERSEY",53261,11761,12266.2047805577
"Smooth skate",2017,"NEW YORK",202080,46987,49005.370633795
"Smooth skate",2017,"RHODE ISLAND",6025,1779,1855.41861275504
"Smooth skate",2016,"CONNECTICUT",11655,3822,4071.42197321407
"Smooth skate",2016,"MASSACHUSETTS",4327,840,894.818016091004
"Smooth skate",2016,"NEW JERSEY",6884,1473,1569.12730678815
"Smooth skate",2016,"NEW YORK",110301,32359,34470.73355082
"Smooth skate",2015,"CONNECTICUT",9999,3110,3354.71713816459
"Smooth skate",2015,"MASSACHUSETTS",16178,5258,5671.73720658181
"Smooth skate",2015,"NEW JERSEY",1520,406,437.946996171969
"Smooth skate",2015,"NEW YORK",52660,21060,22717.1520674425
"Smooth skate",2014,"CONNECTICUT",3280,1203,1299.23263101198
"Smooth skate",2014,"MASSACHUSETTS",227895,72077,77842.7184916461
"Smooth skate",2014,"NEW YORK",36175,13649,14740.8363929198
"Smooth skate",2012,"NEW YORK",43184,9915,11040.6395259149
"Smooth skate",2011,"NEW YORK",23531,3471,3945.18903469187
"Smooth skate",2010,"NEW YORK",2537,573,671.728057169628
"Smooth skate",2008,"NEW YORK",753,316,375.303330828543
"Smooth skate",2007,"NEW YORK",962,405,499.356000289374
