"Time","stock_id","Value","Var","Units","Pattern_check"
1982,"haddock_gb_both",46.799,"cumulative intensity","degrees C","Haddock gb both"
1983,"haddock_gb_both",129.8211,"cumulative intensity","degrees C","Haddock gb both"
1984,"haddock_gb_both",59.662,"cumulative intensity","degrees C","Haddock gb both"
1986,"haddock_gb_both",22.1785,"cumulative intensity","degrees C","Haddock gb both"
1990,"haddock_gb_both",125.5457,"cumulative intensity","degrees C","Haddock gb both"
1991,"haddock_gb_both",26.6636,"cumulative intensity","degrees C","Haddock gb both"
1994,"haddock_gb_both",94.338,"cumulative intensity","degrees C","Haddock gb both"
1995,"haddock_gb_both",15.2636,"cumulative intensity","degrees C","Haddock gb both"
1999,"haddock_gb_both",142.7419,"cumulative intensity","degrees C","Haddock gb both"
2000,"haddock_gb_both",48.6227,"cumulative intensity","degrees C","Haddock gb both"
2001,"haddock_gb_both",36.9594,"cumulative intensity","degrees C","Haddock gb both"
2002,"haddock_gb_both",111.4525,"cumulative intensity","degrees C","Haddock gb both"
2003,"haddock_gb_both",26.4495,"cumulative intensity","degrees C","Haddock gb both"
2005,"haddock_gb_both",32.3559,"cumulative intensity","degrees C","Haddock gb both"
2006,"haddock_gb_both",78.9955,"cumulative intensity","degrees C","Haddock gb both"
2008,"haddock_gb_both",34.128,"cumulative intensity","degrees C","Haddock gb both"
2009,"haddock_gb_both",84.3798,"cumulative intensity","degrees C","Haddock gb both"
2010,"haddock_gb_both",99.2313,"cumulative intensity","degrees C","Haddock gb both"
2011,"haddock_gb_both",110.2578,"cumulative intensity","degrees C","Haddock gb both"
2012,"haddock_gb_both",647.5339,"cumulative intensity","degrees C","Haddock gb both"
2013,"haddock_gb_both",279.413,"cumulative intensity","degrees C","Haddock gb both"
2014,"haddock_gb_both",198.5225,"cumulative intensity","degrees C","Haddock gb both"
2015,"haddock_gb_both",327.0058,"cumulative intensity","degrees C","Haddock gb both"
2016,"haddock_gb_both",338.6324,"cumulative intensity","degrees C","Haddock gb both"
2017,"haddock_gb_both",223.5789,"cumulative intensity","degrees C","Haddock gb both"
2018,"haddock_gb_both",355.3076,"cumulative intensity","degrees C","Haddock gb both"
2019,"haddock_gb_both",58.431,"cumulative intensity","degrees C","Haddock gb both"
2020,"haddock_gb_both",394.245,"cumulative intensity","degrees C","Haddock gb both"
1982,"haddock_gb_both",1.7619,"maximum intensity","degrees C","Haddock gb both"
1982,"haddock_gb_both",1.9151,"maximum intensity","degrees C","Haddock gb both"
1983,"haddock_gb_both",2.0132,"maximum intensity","degrees C","Haddock gb both"
1983,"haddock_gb_both",2.3067,"maximum intensity","degrees C","Haddock gb both"
1984,"haddock_gb_both",1.1812,"maximum intensity","degrees C","Haddock gb both"
1984,"haddock_gb_both",1.7896,"maximum intensity","degrees C","Haddock gb both"
1984,"haddock_gb_both",2.3357,"maximum intensity","degrees C","Haddock gb both"
1984,"haddock_gb_both",2.1415,"maximum intensity","degrees C","Haddock gb both"
1986,"haddock_gb_both",2.7753,"maximum intensity","degrees C","Haddock gb both"
1986,"haddock_gb_both",2.0461,"maximum intensity","degrees C","Haddock gb both"
1990,"haddock_gb_both",1.981,"maximum intensity","degrees C","Haddock gb both"
1990,"haddock_gb_both",3.3187,"maximum intensity","degrees C","Haddock gb both"
1990,"haddock_gb_both",2.3599,"maximum intensity","degrees C","Haddock gb both"
1991,"haddock_gb_both",1.317,"maximum intensity","degrees C","Haddock gb both"
1991,"haddock_gb_both",2.4762,"maximum intensity","degrees C","Haddock gb both"
1994,"haddock_gb_both",3.0353,"maximum intensity","degrees C","Haddock gb both"
1995,"haddock_gb_both",2.0161,"maximum intensity","degrees C","Haddock gb both"
1999,"haddock_gb_both",2.5372,"maximum intensity","degrees C","Haddock gb both"
1999,"haddock_gb_both",1.9593,"maximum intensity","degrees C","Haddock gb both"
1999,"haddock_gb_both",3.1367,"maximum intensity","degrees C","Haddock gb both"
1999,"haddock_gb_both",1.7338,"maximum intensity","degrees C","Haddock gb both"
1999,"haddock_gb_both",1.8044,"maximum intensity","degrees C","Haddock gb both"
1999,"haddock_gb_both",1.54,"maximum intensity","degrees C","Haddock gb both"
1999,"haddock_gb_both",1.5439,"maximum intensity","degrees C","Haddock gb both"
2000,"haddock_gb_both",1.8904,"maximum intensity","degrees C","Haddock gb both"
2000,"haddock_gb_both",2.025,"maximum intensity","degrees C","Haddock gb both"
2001,"haddock_gb_both",2.3552,"maximum intensity","degrees C","Haddock gb both"
2001,"haddock_gb_both",2.3597,"maximum intensity","degrees C","Haddock gb both"
2001,"haddock_gb_both",1.6895,"maximum intensity","degrees C","Haddock gb both"
2002,"haddock_gb_both",1.8326,"maximum intensity","degrees C","Haddock gb both"
2002,"haddock_gb_both",1.7314,"maximum intensity","degrees C","Haddock gb both"
2002,"haddock_gb_both",3.1059,"maximum intensity","degrees C","Haddock gb both"
2002,"haddock_gb_both",1.9737,"maximum intensity","degrees C","Haddock gb both"
2002,"haddock_gb_both",1.592,"maximum intensity","degrees C","Haddock gb both"
