"","Species","Region","Time","Value","Metric","Latitude_degreesN","Longitude_degreesW","along_shelf_distance_km","centropages_zoo_spring_log_N_m__3","recreational_CPUE_number_of_fish_caught_per_day_fished_all_species"
"1","Smooth dogfish","Atlantic",1982,14750,"Abundance",40.22615099,-70.98198855,792.6093421,3.43310877674576,7.27647105785162
"2","Smooth dogfish","Atlantic",1983,14629,"Abundance",40.35608863,-70.90573945,808.0424258,3.59220572792792,5.78752805584714
"3","Smooth dogfish","Atlantic",1984,14417,"Abundance",40.22562795,-71.16860054,781.9913976,3.4934910891984,5.20611040014539
"4","Smooth dogfish","Atlantic",1985,13946,"Abundance",40.36599576,-70.75694284,817.1288996,3.92390998913308,6.76055976410869
"5","Smooth dogfish","Atlantic",1986,13080,"Abundance",40.33593084,-70.80416542,812.2781223,3.94665126477954,8.41133752735727
"6","Smooth dogfish","Atlantic",1987,11965,"Abundance",40.37428663,-70.78087501,817.1158713,3.67669112720189,6.16777649341004
"7","Smooth dogfish","Atlantic",1988,10968,"Abundance",40.45073261,-70.86739158,817.6219601,3.81656646011791,4.95745297309715
"8","Smooth dogfish","Atlantic",1992,7131,"Abundance",40.47955686,-70.72420001,828.446039,4.0811393774753,2.91931103692896
"9","Smooth dogfish","Atlantic",1993,6110,"Abundance",40.36139547,-70.74041936,817.3058002,3.92974131976765,2.44110948570262
"10","Smooth dogfish","Atlantic",1995,4810,"Abundance",40.67657842,-70.49086837,858.3141769,4.10638522108829,2.09285325320061
"11","Smooth dogfish","Atlantic",1996,4321,"Abundance",40.40761369,-70.61213514,828.8794512,4.3272464400645,1.7818406637159
"12","Smooth dogfish","Atlantic",1997,3974,"Abundance",40.46034533,-70.73484896,826.4137543,4.2641634109929,2.01429356438314
"13","Smooth dogfish","Atlantic",1998,3841,"Abundance",40.58397623,-70.71977025,838.0346349,4.31643390625778,1.79260316828951
"14","Smooth dogfish","Atlantic",1999,4040,"Abundance",40.48861163,-70.68643348,831.5220071,4.22171159975358,1.9499994572924
"15","Smooth dogfish","Atlantic",2000,4651,"Abundance",40.67540363,-70.46292463,859.7844628,4.56834702251471,2.38501518124824
"16","Smooth dogfish","Atlantic",2001,5257,"Abundance",40.53551709,-70.56903206,842.540767,4.57997877024529,2.11913563781022
"17","Smooth dogfish","Atlantic",2002,5529,"Abundance",40.71166794,-70.50113143,860.6596093,4.36613920809072,2.20100690144608
"18","Smooth dogfish","Atlantic",2003,5771,"Abundance",40.59326909,-70.49614997,851.666238,4.18839203992399,2.43994708716007
"19","Smooth dogfish","Atlantic",2004,6254,"Abundance",40.43264261,-70.74083783,823.4554738,4.19524154018092,2.23179050013897
