"Species","EPU","sex","YEAR","MeanCond","nCond","n"
"Atlantic herring","GOM","M",2008,107.823713914836,451,27
"Atlantic herring","GOM","M",2009,105.608415962696,375,27
"Atlantic herring","GOM","M",2010,98.8928107833936,536,27
"Atlantic herring","GOM","M",2011,104.313409798699,551,27
"Atlantic herring","GOM","M",2012,102.598064538678,579,27
"Atlantic herring","GOM","M",2013,99.5573761911077,247,27
"Atlantic herring","GOM","M",2014,99.4946660857441,250,27
"Atlantic herring","GOM","M",2015,100.963040400146,306,27
"Atlantic herring","GOM","M",2016,102.548224215156,206,27
"Atlantic herring","GOM","M",2017,98.2716977334229,112,27
"Atlantic herring","GOM","M",2018,102.93776329981,81,27
"Atlantic herring","SS","F",1992,93.5930485116861,11,27
"Atlantic herring","SS","F",1993,109.331988560049,22,27
"Atlantic herring","SS","F",1994,109.153383791301,24,27
"Atlantic herring","SS","F",1995,100.200927202443,22,27
"Atlantic herring","SS","F",1996,102.055445775154,35,27
"Atlantic herring","SS","F",1997,111.794684792251,15,27
"Atlantic herring","SS","F",1998,114.358262372378,102,27
"Atlantic herring","SS","F",1999,109.313234562215,33,27
"Atlantic herring","SS","F",2000,106.384455961902,49,27
"Atlantic herring","SS","F",2001,111.676917690881,39,27
"Atlantic herring","SS","F",2002,101.820769309125,60,27
"Atlantic herring","SS","F",2003,109.314754786658,59,27
"Atlantic herring","SS","F",2004,102.031615281731,77,27
"Atlantic herring","SS","F",2005,105.263379749515,102,27
"Atlantic herring","SS","F",2006,106.137108438065,40,27
"Atlantic herring","SS","F",2007,111.335416326291,103,27
"Atlantic herring","SS","F",2008,111.312429813308,106,27
"Atlantic herring","SS","F",2009,105.666894787047,70,27
"Atlantic herring","SS","F",2010,102.404592540967,130,27
"Atlantic herring","SS","F",2011,101.171963294554,32,27
"Atlantic herring","SS","F",2012,101.619319022791,103,27
"Atlantic herring","SS","F",2013,99.1628161304755,72,27
"Atlantic herring","SS","F",2014,101.4156681326,88,27
"Atlantic herring","SS","F",2015,100.418943390707,91,27
"Atlantic herring","SS","F",2016,100.99100441154,74,27
"Atlantic herring","SS","F",2017,97.9762252219684,31,27
"Atlantic herring","SS","F",2018,104.75630461814,13,27
"Atlantic herring","SS","M",1992,93.0504901475177,10,27
"Atlantic herring","SS","M",1993,107.049391145108,27,27
"Atlantic herring","SS","M",1994,104.449695519753,23,27
"Atlantic herring","SS","M",1995,106.262038003786,32,27
"Atlantic herring","SS","M",1996,99.6875368756824,37,27
"Atlantic herring","SS","M",1997,107.566578840633,21,27
"Atlantic herring","SS","M",1998,106.139752452607,94,27
"Atlantic herring","SS","M",1999,103.352650014272,21,27
"Atlantic herring","SS","M",2000,106.83882680327,42,27
"Atlantic herring","SS","M",2001,108.834305293375,27,27
"Atlantic herring","SS","M",2002,104.691788579864,67,27
"Atlantic herring","SS","M",2003,106.174115444902,88,27
"Atlantic herring","SS","M",2004,102.808743762383,100,27
"Atlantic herring","SS","M",2005,101.414874696768,91,27
"Atlantic herring","SS","M",2006,108.351986589362,40,27
"Atlantic herring","SS","M",2007,110.97370105323,106,27
"Atlantic herring","SS","M",2008,111.912939136182,84,27
"Atlantic herring","SS","M",2009,103.844169466572,85,27
"Atlantic herring","SS","M",2010,102.880455132257,114,27
"Atlantic herring","SS","M",2011,100.376444551881,53,27
"Atlantic herring","SS","M",2012,102.956486315378,95,27
"Atlantic herring","SS","M",2013,102.636554485992,74,27
"Atlantic herring","SS","M",2014,102.697389265887,53,27
"Atlantic herring","SS","M",2015,98.4334584974678,95,27
"Atlantic herring","SS","M",2016,97.7445814208739,75,27
"Atlantic herring","SS","M",2017,94.2062432960299,32,27
"Atlantic herring","SS","M",2018,96.7479667735963,3,27
